Protocolo,Aberto em,Prioridade,Tempo de Resposta (h),Atendente,CNPJ do Cliente,Resolvido,Descrição do problema,Custo do Atendimento
2024000,2024-03-15 11:48,Alta,"19,7",Plantão,41.283.601/0001-19,true,Integração parou de sincronizar pedidos (ticket 0),"177,89"
2024001,2024-06-16 13:37,Média,"23,9",Equipe N2,54.999.723/0001-12,true,Sistema lento ao emitir nota (ticket 1),"335,92"
2024002,2024-05-08 14:22,Alta,"25,7",Equipe N2,49.153.615/0001-79,true,Integração parou de sincronizar pedidos (ticket 2),"111,91"
2024003,2024-01-13 16:04,Baixa,"10,0",Plantão,24.446.220/0001-54,false,Integração parou de sincronizar pedidos (ticket 3),"321,03"
2024004,2024-03-20 14:21,Média,"23,6",Equipe N1,86.788.481/0001-76,false,Dúvida sobre fatura (ticket 4),"77,48"
2024005,2024-06-26 08:22,Alta,"19,6",Equipe N1,19.950.508/0001-40,false,Integração parou de sincronizar pedidos (ticket 5),"33,13"
2024006,2024-06-15 10:56,Crítica,"6,0",Plantão,64.529.426/0001-56,true,Sistema lento ao emitir nota (ticket 6),"273,26"
2024007,2024-04-01 11:02,Baixa,"29,4",Equipe N2,29.545.228/0001-71,false,Sistema lento ao emitir nota (ticket 7),"242,38"
2024008,2024-04-03 11:39,Baixa,"19,8",Equipe N1,67.874.240/0001-80,false,Erro 500 no login (ticket 8),"190,39"
2024009,2024-01-25 16:38,Crítica,"15,5",Plantão,29.590.592/0001-83,false,Integração parou de sincronizar pedidos (ticket 9),"327,59"
2024010,2024-02-15 09:25,Baixa,"40,7",Equipe N2,74.203.953/0001-56,true,Integração parou de sincronizar pedidos (ticket 10),"281,16"
2024011,2024-06-21 11:00,Alta,"4,0",Equipe N2,26.124.911/0001-37,true,Sistema lento ao emitir nota (ticket 11),"305,52"
2024012,2024-02-18 08:32,Crítica,"18,0",Equipe N1,45.354.247/0001-26,true,Sistema lento ao emitir nota (ticket 12),"191,40"
2024013,2024-06-18 16:42,Média,"18,2",Equipe N2,56.415.378/0001-79,false,Erro 500 no login (ticket 13),"47,51"
2024014,2024-06-27 13:11,Média,"29,4",Equipe N2,26.436.257/0001-71,false,Erro 500 no login (ticket 14),"137,94"
2024015,2024-01-10 10:57,Média,"11,9",Equipe N1,88.553.763/0001-50,true,Erro 500 no login (ticket 15),"37,32"
2024016,2024-03-18 11:02,Crítica,"45,4",Equipe N2,53.806.978/0001-12,false,Sistema lento ao emitir nota (ticket 16),"62,64"
2024017,2024-03-16 10:10,Crítica,"20,2",Equipe N1,30.543.148/0001-91,true,Sistema lento ao emitir nota (ticket 17),"178,80"
2024018,2024-03-20 14:26,Baixa,"40,0",Plantão,33.436.779/0001-70,false,Erro 500 no login (ticket 18),"120,63"
2024019,2024-04-16 18:22,Crítica,"18,5",Equipe N2,67.396.654/0001-57,false,Sistema lento ao emitir nota (ticket 19),"131,30"
2024020,2024-02-27 18:12,Baixa,"43,1",Equipe N2,69.833.754/0001-50,false,Sistema lento ao emitir nota (ticket 20),"332,93"
2024021,2024-04-08 09:06,Crítica,"37,3",Equipe N2,71.211.904/0001-40,true,Sistema lento ao emitir nota (ticket 21),"81,41"
2024022,2024-06-25 18:37,Crítica,"42,8",Equipe N1,45.419.514/0001-77,true,Erro 500 no login (ticket 22),"250,40"
2024023,2024-03-20 11:14,Crítica,"16,8",Plantão,66.259.223/0001-11,false,Sistema lento ao emitir nota (ticket 23),"263,71"
2024024,2024-02-24 13:40,Baixa,"25,1",Equipe N2,52.354.742/0001-17,false,Sistema lento ao emitir nota (ticket 24),"315,25"
2024025,2024-02-14 14:31,Baixa,"2,1",Equipe N2,99.499.774/0001-12,true,Dúvida sobre fatura (ticket 25),"216,39"
2024026,2024-04-10 16:01,Crítica,"10,1",Equipe N1,11.690.114/0001-54,false,Dúvida sobre fatura (ticket 26),"253,19"
2024027,2024-05-03 09:53,Crítica,"17,2",Equipe N1,55.214.219/0001-77,true,Sistema lento ao emitir nota (ticket 27),"133,08"
2024028,2024-06-14 12:20,Média,"35,1",Equipe N2,52.242.670/0001-18,false,Sistema lento ao emitir nota (ticket 28),"249,06"
2024029,2024-03-05 10:50,Baixa,"9,1",Equipe N2,57.328.856/0001-97,false,Sistema lento ao emitir nota (ticket 29),"36,76"
2024030,2024-04-12 09:16,Média,"46,4",Equipe N1,93.367.123/0001-38,false,Erro 500 no login (ticket 30),"218,06"
2024031,2024-03-03 17:33,Média,"26,9",Equipe N1,77.440.979/0001-22,true,Sistema lento ao emitir nota (ticket 31),"352,86"
2024032,2024-05-16 14:51,Crítica,"5,2",Equipe N1,18.638.723/0001-71,true,Erro 500 no login (ticket 32),"303,71"
2024033,2024-01-01 18:31,Média,"47,2",Equipe N1,71.704.910/0001-93,false,Integração parou de sincronizar pedidos (ticket 33),"194,05"
2024034,2024-06-11 09:58,Alta,"20,9",Equipe N2,30.136.211/0001-99,false,Integração parou de sincronizar pedidos (ticket 34),"270,45"
2024035,2024-01-16 11:34,Alta,"40,3",Equipe N2,64.920.404/0001-11,true,Integração parou de sincronizar pedidos (ticket 35),"44,45"
2024036,2024-05-03 08:08,Média,"17,5",Equipe N2,90.899.374/0001-23,true,Sistema lento ao emitir nota (ticket 36),"249,12"
2024037,2024-02-18 09:08,Média,"2,3",Equipe N1,57.313.343/0001-35,false,Integração parou de sincronizar pedidos (ticket 37),"48,61"
2024038,2024-06-23 10:32,Baixa,"23,0",Equipe N1,32.618.970/0001-75,true,Integração parou de sincronizar pedidos (ticket 38),"280,74"
2024039,2024-02-07 11:09,Média,"46,2",Equipe N2,88.112.423/0001-69,true,Dúvida sobre fatura (ticket 39),"103,92"
2024040,2024-06-03 14:51,Baixa,"38,2",Equipe N1,66.425.398/0001-63,true,Sistema lento ao emitir nota (ticket 40),"123,22"
2024041,2024-03-03 17:46,Baixa,"0,5",Equipe N2,31.435.933/0001-97,true,Integração parou de sincronizar pedidos (ticket 41),"47,16"
2024042,2024-01-04 15:53,Média,"26,6",Equipe N1,18.888.481/0001-12,false,Integração parou de sincronizar pedidos (ticket 42),"254,39"
2024043,2024-04-20 17:21,Média,"27,9",Equipe N1,78.312.396/0001-57,false,Integração parou de sincronizar pedidos (ticket 43),"203,77"
2024044,2024-05-28 09:52,Média,"10,3",Plantão,87.936.977/0001-33,false,Erro 500 no login (ticket 44),"105,29"
2024045,2024-03-07 13:33,Média,"47,8",Equipe N2,31.658.368/0001-70,false,Erro 500 no login (ticket 45),"137,39"
2024046,2024-04-13 10:00,Média,"15,0",Plantão,24.887.258/0001-94,true,Integração parou de sincronizar pedidos (ticket 46),"80,02"
2024047,2024-06-02 10:09,Média,"33,6",Plantão,89.815.999/0001-56,true,Integração parou de sincronizar pedidos (ticket 47),"297,59"
2024048,2024-02-03 11:14,Crítica,"22,3",Equipe N1,99.592.856/0001-53,true,Erro 500 no login (ticket 48),"391,49"
2024049,2024-05-06 16:04,Crítica,"42,5",Equipe N1,84.154.736/0001-96,true,Sistema lento ao emitir nota (ticket 49),"73,52"
2024050,2024-01-09 08:48,Baixa,"1,6",Equipe N1,48.920.679/0001-41,false,Sistema lento ao emitir nota (ticket 50),"219,53"
2024051,2024-03-20 16:29,Baixa,"3,7",Equipe N1,65.345.829/0001-64,true,Sistema lento ao emitir nota (ticket 51),"242,19"
2024052,2024-03-09 13:04,Média,"14,6",Plantão,30.485.302/0001-99,true,Sistema lento ao emitir nota (ticket 52),"43,04"
2024053,2024-05-24 15:44,Alta,"4,1",Equipe N1,54.443.317/0001-75,false,Sistema lento ao emitir nota (ticket 53),"226,21"
2024054,2024-01-15 16:18,Alta,"12,0",Equipe N2,61.420.141/0001-47,false,Erro 500 no login (ticket 54),"61,87"
2024055,2024-01-28 12:03,Alta,"45,1",Plantão,33.259.294/0001-58,true,Erro 500 no login (ticket 55),"83,62"
2024056,2024-05-18 16:45,Alta,"1,0",Plantão,62.363.251/0001-40,true,Dúvida sobre fatura (ticket 56),"139,39"
