SKU	Descrição	Categoria	Fornecedor	Quantidade em Estoque	Estoque Mínimo	Custo Unitário	Última Entrada	Armazém	Ativo
SKU-ELE-0001	Fone Bluetooth P	Eletrônicos	Beta Importação	451	10	94.11	2024-05-16	Extrema	true
SKU-ELE-0002	Fone Bluetooth M	Eletrônicos	Delta Atacado	444	20	173.77	2024-02-19	Guarulhos	false
SKU-ELE-0003	Fone Bluetooth G	Eletrônicos	Delta Atacado	442	10	128.63	2024-03-11	Cajamar	false
SKU-ELE-0004	Fone Bluetooth Azul	Eletrônicos	Alfa Distribuidora	236	10	394.89	2024-02-06	Guarulhos	false
SKU-ELE-0005	Fone Bluetooth Preto	Eletrônicos	Delta Atacado	408	5	181.88	2024-04-08	Guarulhos	false
SKU-ELE-0006	Fone Bluetooth Branco	Eletrônicos	Gama Indústria	169	50	109.07	2024-01-10	Guarulhos	false
SKU-ELE-0007	Fone Bluetooth Kit 2	Eletrônicos	Delta Atacado	87	10	139.60	2024-02-18	Extrema	false
SKU-ELE-0008	Fone Bluetooth Kit 3	Eletrônicos	Gama Indústria	172	20	157.59	2024-04-05	Extrema	true
SKU-ELE-0009	Carregador USB-C P	Eletrônicos	Delta Atacado	431	5	136.29	2024-03-20	Cajamar	true
SKU-ELE-0010	Carregador USB-C M	Eletrônicos	Beta Importação	247	50	95.88	2024-01-31	Extrema	true
SKU-ELE-0011	Carregador USB-C G	Eletrônicos	Delta Atacado	209	5	379.43	2024-03-29	Extrema	true
SKU-ELE-0012	Carregador USB-C Azul	Eletrônicos	Gama Indústria	467	20	53.46	2024-06-14	Extrema	false
SKU-ELE-0013	Carregador USB-C Preto	Eletrônicos	Delta Atacado	69	20	135.69	2024-07-02	Guarulhos	false
SKU-ELE-0014	Carregador USB-C Branco	Eletrônicos	Gama Indústria	268	5	206.24	2024-04-22	Extrema	false
SKU-ELE-0015	Carregador USB-C Kit 2	Eletrônicos	Gama Indústria	169	10	176.49	2024-07-04	Extrema	false
SKU-ELE-0016	Carregador USB-C Kit 3	Eletrônicos	Gama Indústria	170	10	148.22	2024-01-02	Guarulhos	false
SKU-ELE-0017	Caixa de Som P	Eletrônicos	Delta Atacado	232	10	382.77	2024-05-17	Guarulhos	false
SKU-ELE-0018	Caixa de Som M	Eletrônicos	Alfa Distribuidora	106	10	178.04	2024-07-13	Guarulhos	true
SKU-ELE-0019	Caixa de Som G	Eletrônicos	Beta Importação	199	50	252.37	2024-06-20	Guarulhos	true
SKU-ELE-0020	Caixa de Som Azul	Eletrônicos	Alfa Distribuidora	332	50	127.91	2024-07-14	Extrema	false
SKU-ELE-0021	Caixa de Som Preto	Eletrônicos	Gama Indústria	3	50	154.88	2024-04-15	Extrema	false
SKU-ELE-0022	Caixa de Som Branco	Eletrônicos	Beta Importação	404	50	338.12	2024-02-24	Extrema	false
SKU-ELE-0023	Caixa de Som Kit 2	Eletrônicos	Alfa Distribuidora	438	50	134.58	2024-05-30	Extrema	false
SKU-ELE-0024	Caixa de Som Kit 3	Eletrônicos	Alfa Distribuidora	155	10	47.31	2024-02-23	Guarulhos	true
SKU-ELE-0025	Smartwatch P	Eletrônicos	Beta Importação	457	20	333.22	2024-04-11	Guarulhos	true
SKU-ELE-0026	Smartwatch M	Eletrônicos	Gama Indústria	170	20	233.73	2024-01-27	Extrema	true
SKU-ELE-0027	Smartwatch G	Eletrônicos	Beta Importação	24	20	90.11	2024-06-11	Guarulhos	true
SKU-ELE-0028	Smartwatch Azul	Eletrônicos	Beta Importação	87	10	298.54	2024-02-18	Extrema	false
SKU-ELE-0029	Smartwatch Preto	Eletrônicos	Beta Importação	285	20	53.22	2024-03-27	Extrema	true
SKU-ELE-0030	Smartwatch Branco	Eletrônicos	Alfa Distribuidora	427	20	312.70	2024-03-31	Cajamar	false
SKU-ELE-0031	Smartwatch Kit 2	Eletrônicos	Alfa Distribuidora	365	50	97.03	2024-06-21	Cajamar	true
SKU-ELE-0032	Smartwatch Kit 3	Eletrônicos	Alfa Distribuidora	218	5	395.59	2024-07-14	Extrema	true
SKU-CAS-0033	Luminária P	Casa	Delta Atacado	208	50	50.61	2024-02-15	Guarulhos	true
SKU-CAS-0034	Luminária M	Casa	Delta Atacado	157	10	16.28	2024-03-02	Extrema	false
SKU-CAS-0035	Luminária G	Casa	Beta Importação	461	50	97.32	2024-04-24	Cajamar	true
SKU-CAS-0036	Luminária Azul	Casa	Gama Indústria	55	50	97.43	2024-03-07	Extrema	true
SKU-CAS-0037	Luminária Preto	Casa	Delta Atacado	351	10	43.17	2024-07-07	Guarulhos	false
SKU-CAS-0038	Luminária Branco	Casa	Alfa Distribuidora	326	50	86.58	2024-05-20	Cajamar	true
SKU-CAS-0039	Luminária Kit 2	Casa	Beta Importação	200	5	88.21	2024-02-07	Cajamar	true
SKU-CAS-0040	Luminária Kit 3	Casa	Gama Indústria	368	20	18.30	2024-01-07	Cajamar	true
SKU-CAS-0041	Jogo de Toalhas P	Casa	Beta Importação	412	10	57.09	2024-02-17	Guarulhos	false
SKU-CAS-0042	Jogo de Toalhas M	Casa	Gama Indústria	111	5	54.30	2024-03-02	Extrema	false
SKU-CAS-0043	Jogo de Toalhas G	Casa	Gama Indústria	323	50	102.50	2024-03-19	Guarulhos	true
SKU-CAS-0044	Jogo de Toalhas Azul	Casa	Delta Atacado	102	5	53.22	2024-04-21	Cajamar	true
SKU-CAS-0045	Jogo de Toalhas Preto	Casa	Delta Atacado	221	20	80.38	2024-06-27	Extrema	true
SKU-CAS-0046	Jogo de Toalhas Branco	Casa	Beta Importação	108	5	56.01	2024-03-08	Cajamar	true
SKU-CAS-0047	Jogo de Toalhas Kit 2	Casa	Alfa Distribuidora	352	5	107.71	2024-05-29	Guarulhos	true
SKU-CAS-0048	Jogo de Toalhas Kit 3	Casa	Beta Importação	129	50	90.26	2024-05-29	Guarulhos	false
SKU-CAS-0049	Panela Antiaderente P	Casa	Delta Atacado	68	20	14.56	2024-03-28	Guarulhos	false
SKU-CAS-0050	Panela Antiaderente M	Casa	Alfa Distribuidora	135	10	46.26	2024-01-25	Cajamar	true
SKU-CAS-0051	Panela Antiaderente G	Casa	Alfa Distribuidora	434	20	89.21	2024-05-23	Guarulhos	true
SKU-CAS-0052	Panela Antiaderente Azul	Casa	Gama Indústria	453	50	25.20	2024-06-16	Guarulhos	true
SKU-CAS-0053	Panela Antiaderente Preto	Casa	Alfa Distribuidora	59	5	59.37	2024-07-18	Guarulhos	true
SKU-CAS-0054	Panela Antiaderente Branco	Casa	Gama Indústria	243	10	66.56	2024-06-22	Extrema	true
SKU-CAS-0055	Panela Antiaderente Kit 2	Casa	Gama Indústria	78	10	59.19	2024-05-11	Guarulhos	false
SKU-CAS-0056	Panela Antiaderente Kit 3	Casa	Alfa Distribuidora	31	5	53.21	2024-07-14	Cajamar	false
SKU-CAS-0057	Organizador P	Casa	Delta Atacado	366	50	102.95	2024-06-17	Extrema	true
SKU-CAS-0058	Organizador M	Casa	Delta Atacado	107	20	44.86	2024-05-21	Extrema	true
