Relatório Financeiro 2023 - Empresa Fictícia Ltda,,,,,
Gerado em 05/01/2024,,,,,
,,,,,
Mês,Centro de Custo,Receita,Despesa,Margem %,Observação
01/01/2023,Comercial,"32.725,04","23.500,51","28,2%",Campanha sazonal
01/01/2023,Marketing,"4.559,02","17.687,97","-288,0%",
01/01/2023,Operações,"65.259,46","39.513,61","39,5%",
01/01/2023,TI,"7.959,72","36.140,15","-354,0%",Revisar com a contabilidade
01/01/2023,RH,"4.155,73","22.346,67","-437,7%",Inclui bônus
01/02/2023,Comercial,"52.012,34","16.131,49","69,0%",Revisar com a contabilidade
01/02/2023,Marketing,"220,89","28.406,82","-12.760,2%",Inclui bônus
01/02/2023,Operações,"74.474,09","21.444,68","71,2%",Campanha sazonal
01/02/2023,TI,"3.169,39","39.752,53","-1.154,3%",Revisar com a contabilidade
01/02/2023,RH,"6.751,51","33.678,40","-398,8%",Inclui bônus
01/03/2023,Comercial,"73.402,41","39.185,16","46,6%",Ajuste de fechamento
01/03/2023,Marketing,"1.232,30","39.094,88","-3.072,5%",Campanha sazonal
01/03/2023,Operações,"61.118,34","27.602,54","54,8%",Inclui bônus
01/03/2023,TI,"5.509,05","33.442,54","-507,0%",
01/03/2023,RH,"326,93","33.933,19","-10.279,3%",Campanha sazonal
01/04/2023,Comercial,"78.459,26","35.531,41","54,7%",Campanha sazonal
01/04/2023,Marketing,"2.892,65","36.661,58","-1.167,4%",Revisar com a contabilidade
01/04/2023,Operações,"24.225,58","34.870,23","-43,9%",
01/04/2023,TI,"5.480,21","8.855,68","-61,6%",
01/04/2023,RH,"6.298,57","30.537,94","-384,8%",Inclui bônus
01/05/2023,Comercial,"28.029,19","31.571,04","-12,6%",Ajuste de fechamento
01/05/2023,Marketing,"5.039,46","20.851,36","-313,8%",
01/05/2023,Operações,"44.591,92","23.801,97","46,6%",
01/05/2023,TI,"5.273,36","16.721,13","-217,1%",Revisar com a contabilidade
01/05/2023,RH,"2.165,75","36.201,76","-1.571,6%",Revisar com a contabilidade
01/06/2023,Comercial,"29.415,98","31.590,75","-7,4%",Inclui bônus
01/06/2023,Marketing,"3.100,78","39.716,87","-1.180,9%",Ajuste de fechamento
01/06/2023,Operações,"20.539,34","36.152,63","-76,0%",
01/06/2023,TI,"5.784,03","16.096,24","-178,3%",
01/06/2023,RH,"2.399,74","18.835,64","-684,9%",
01/07/2023,Comercial,"71.238,90","30.429,05","57,3%",
01/07/2023,Marketing,"7.713,73","18.399,85","-138,5%",Inclui bônus
01/07/2023,Operações,"49.456,57","32.263,53","34,8%",Campanha sazonal
01/07/2023,TI,"4.943,46","23.982,62","-385,1%",Campanha sazonal
01/07/2023,RH,"1.178,57","14.787,72","-1.154,7%",Ajuste de fechamento
01/08/2023,Comercial,"68.033,61","23.782,97","65,0%",Revisar com a contabilidade
01/08/2023,Marketing,"3.483,12","24.606,35","-606,4%",Revisar com a contabilidade
01/08/2023,Operações,"39.611,20","14.533,10","63,3%",Ajuste de fechamento
01/08/2023,TI,"6.443,81","28.150,78","-336,9%",Ajuste de fechamento
01/08/2023,RH,"606,60","34.247,26","-5.545,8%",
01/09/2023,Comercial,"81.340,51","35.402,02","56,5%",Inclui bônus
01/09/2023,Marketing,"3.760,78","19.879,07","-428,6%",
01/09/2023,Operações,"20.747,95","13.448,96","35,2%",
01/09/2023,TI,"1.640,68","18.155,60","-1.006,6%",Ajuste de fechamento
01/09/2023,RH,"808,87","16.083,30","-1.888,4%",Inclui bônus
01/10/2023,Comercial,"53.050,00","11.273,07","78,8%",Ajuste de fechamento
01/10/2023,Marketing,"1.804,95","28.059,01","-1.454,6%",Campanha sazonal
01/10/2023,Operações,"87.189,66","8.749,97","90,0%",Inclui bônus
01/10/2023,TI,"4.917,60","29.109,14","-491,9%",Inclui bônus
01/10/2023,RH,"4.656,62","12.439,96","-167,1%",Campanha sazonal
01/11/2023,Comercial,"67.570,63","10.123,41","85,0%",Inclui bônus
01/11/2023,Marketing,"6.350,41","18.161,93","-186,0%",Ajuste de fechamento
01/11/2023,Operações,"35.407,59","36.137,74","-2,1%",Ajuste de fechamento
01/11/2023,TI,"7.666,56","38.446,50","-401,5%",
01/11/2023,RH,"2.913,72","19.952,97","-584,8%",Inclui bônus
01/12/2023,Comercial,"55.420,04","10.162,13","81,7%",
01/12/2023,Marketing,"3.100,70","31.510,58","-916,2%",Ajuste de fechamento
01/12/2023,Operações,"49.602,03","32.811,19","33,9%",Ajuste de fechamento
01/12/2023,TI,"4.752,90","12.217,60","-157,1%",Inclui bônus
01/12/2023,RH,"5.718,94","22.596,95","-295,1%",
Total,,"1.407.702,75","1.539.761,70",,
